species_name_audit_pk	species_pk	source_dataset	source_species_name	species_normalized	match_status
187		meiri	Indotyphlops lankaensis	indotyphlops_lankaensis	normalized_no_species_lookup_provided
188		meiri	Indotyphlops leucomelas	indotyphlops_leucomelas	normalized_no_species_lookup_provided
189		meiri	Cynisca bifrontalis	cynisca_bifrontalis	normalized_no_species_lookup_provided
190		meiri	Alopoglossus lehmanni	alopoglossus_lehmanni	normalized_no_species_lookup_provided
191		meiri	Brookesia exarmata	brookesia_exarmata	normalized_no_species_lookup_provided
192		meiri	Brookesia peyrierasi	brookesia_peyrierasi	normalized_no_species_lookup_provided
193		meiri	Crenadactylus occidentalis	crenadactylus_occidentalis	normalized_no_species_lookup_provided
194		meiri	Cnemaspis aceh	cnemaspis_aceh	normalized_no_species_lookup_provided
195		meiri	Cnemaspis australis	cnemaspis_australis	normalized_no_species_lookup_provided
196		meiri	Cnemaspis goaensis	cnemaspis_goaensis	normalized_no_species_lookup_provided
197		meiri	Cnemaspis jacobsoni	cnemaspis_jacobsoni	normalized_no_species_lookup_provided
198		meiri	Cnemaspis kumarasinghei	cnemaspis_kumarasinghei	normalized_no_species_lookup_provided
199		meiri	Cnemaspis latha	cnemaspis_latha	normalized_no_species_lookup_provided
200		meiri	Cnemaspis limayei	cnemaspis_limayei	normalized_no_species_lookup_provided
201		meiri	Cnemaspis mysoriensis	cnemaspis_mysoriensis	normalized_no_species_lookup_provided
202		meiri	Cnemaspis retigalensis	cnemaspis_retigalensis	normalized_no_species_lookup_provided
203		meiri	Cnemaspis tanintharyi	cnemaspis_tanintharyi	normalized_no_species_lookup_provided
204		meiri	Cnemaspis thayawthadangyi	cnemaspis_thayawthadangyi	normalized_no_species_lookup_provided
205		meiri	Cnemaspis yercaudensis	cnemaspis_yercaudensis	normalized_no_species_lookup_provided
206		meiri	Goggia gemmula	goggia_gemmula	normalized_no_species_lookup_provided
207		meiri	Lygodactylus bradfieldi	lygodactylus_bradfieldi	normalized_no_species_lookup_provided
208		meiri	Lygodactylus insularis	lygodactylus_insularis	normalized_no_species_lookup_provided
209		meiri	Tropiocolotes hormozganensis	tropiocolotes_hormozganensis	normalized_no_species_lookup_provided
210		meiri	Tropiocolotes nattereri	tropiocolotes_nattereri	normalized_no_species_lookup_provided
211		meiri	Tropiocolotes nubicus	tropiocolotes_nubicus	normalized_no_species_lookup_provided
212		meiri	Tropiocolotes scorteccii	tropiocolotes_scorteccii	normalized_no_species_lookup_provided
213		meiri	Bachia lineata	bachia_lineata	normalized_no_species_lookup_provided
214		meiri	Bachia whitei	bachia_whitei	normalized_no_species_lookup_provided
215		meiri	Loxopholis snethlageae	loxopholis_snethlageae	normalized_no_species_lookup_provided
216		meiri	Ablepharus grayanus	ablepharus_grayanus	normalized_no_species_lookup_provided
217		meiri	Calyptotis thorntonensis	calyptotis_thorntonensis	normalized_no_species_lookup_provided
218		meiri	Eroticoscincus graciloides	eroticoscincus_graciloides	normalized_no_species_lookup_provided
